मसूरी	ma suu rii
मंत्रालयों	man traa la yoon
कोशिश	koo shish
पंद्रहवें	pan drah vein
धर्मवाद	dhar ma vaad
शरत्	shart
कोलोरेक्टल	koo loo reik t:al
कंपनीयों	kam pa nii yoon
इन्डोनेशिया	in d:oo ne shi yaa
मधुमक्खियाँ	ma dhu mak khi yan
जिसके	jis kei
जटिलता	ja t:il taa
छाप	chhaap
इन्फ्रारेड	in phraa reid:
हल्के	hal kei
शहादत	sha haa dat
झाकियोँ	jhaan ki yoon
प्रत्यारोपण	prat yaa roo pan:
पर्ल	parl
पार्टियों	paar t:i yoon
ग्रांट	graant:
खींचना	khiin chnaa
घोष	ghoosh
संख्या	san khyaa
करायेगा	ka raa yei gaa
घोर	ghoor
मुलायम	mu laa yam
समुद्रीय	sa mud riiy
चंगा	chan gaa
रोगोपचार	roo goop chaar
छाई	chhaaii
अन्तस्रवण	an ta sar van
करी	ka rii
सिलहिली	sa li hi lii
छेद	chheid
रुस	rus
तस्वीर	tas viir
उठे	u thei
मिसाइलों	mi saai lein
भानुसिंहों	bhaa nu sin hoon
विकास	vi kaas
स्वशासित	sva shaa sit
भेजेगा	bhei jeig
विकार	vi kaar
पकड़कर	pa kad: kar
खिदमते	khid ma tei
आलोचन	aa loo chan
विकाश	vi kaash
कामराज	kaam raaj
रिसना	ris naa
जोड़ते	jood: tei
वाजपेयी	vaaj pei yii
करवाया	kar vaa yaa
उनका	un kaa
कहती	kah tii
सम्बधिंयों	sam ban dhi yoon
तैयारीयाँ	tai yaa riy
कहते	ka ha tei
स्टेशन	st:ei sha na
मोती	moo tii
साप्ताहिक	saap taa hik
इएफएस	
पुनःवृक्षारोपण	pu nav rxi shha pu karv
कॉलेज	ka leij
विषुव	vi shhuv
मेहनत	ma hei nat
बताये	ba taa yei
विडियों	vi d:i yoon
आरम्भ	aar mabh
नॉथन	na tha na
गुजरेगा	gu ra jeig
अमीरी	a mii rii
सपनों	sap noon
आद्यौगिकीकरण	aay yau di ga kir
सिस्टरों	sis t:a roon
उठना	u tha naa
तुकाराम	tu kaa raa ma
एचपीवी	a cha pii vii
विश्वेश्वरय्या	vish veish ray
हमदर्दी	ha ma dar dii
स्लेटी	slei t:ii
रहवासी	rah vaa sii
सर्वशक्ति	sar vash ta ki
आगरा	aa gar
अवशेष	a va sheishh
छूटना	chhuu ta na
देने	dei nei
छिद्र	chhidr
गिनती	gi na tei
जयते	ja ya tei
पकड़	pa kad:
मंडराती	man d:raa tii
मुसलमानों	mu sa la maa noon
पोरबंदर	poo ra bar na
उपयोगकर्ताओं	u pa ya goo kar thaa
जिसने	ji sa nei
मलचिंग	ma la chign
दफनाए	da pha naaei
दिनों	di noon
दस्तूरों	das tuu roon
कुंजी	kun jii
निम्नलिखित	ni man likht
अस्वाभाविक	as vaa bhaa vik
सेवी	sei vii
रिहायशी	ri haa yeish
किलो	ki loon
गम्भीरता	mag bhii rat
मजिस्ट्रेट	ma jis t:reit:
किले	ki lei
क़ुदरती	ku da ra tei
बढ़ेगा	ba d:hei gaa
विघ्नहर्ता	vin ha ghatr
देवऋण	deiv
खण्डरों	khan d:a roon
मत	mat
मद	mad
पैमाने	pai maa nei
मठ	ma
स्तुति	sut ti
क्रोद्धित	kroo ditdh
डिस्कवरी	d:is kav rii
दार्शनिक	daa ran shik
स्वास्थ्यकर	svaas thya kar
मम	mam
मन	man
सूक्ष्मजीवों	suuk
संपदा	sam pa daa
मर	mar
राजघाट	ra jaa ghat:
मल	mal
हलवा	ha la vaa
इन्कोस्पार	in ksoo par
मि	mi
कुएँ	kuei
छठी	chha tei
प्राणा	praa na
जोकि	joo ki
दरिद्रता	da rid ra taa
कैनल	kai nal
निंदा	nin daa
करों	ka roon
वेश	veish
इंक	ink
धर्मात्मा	dhar maat ma
सोमवार	soo ma var
ब्राहमण	braah ma na
सूंड़	suund:
मुलगड़ी	mul ga d:i
सूकून	suu kuun
मच	mach
माउन्टबैटेन	maaun t:bai t:ain
जस	jas
जा	
ताकतों	taa ka toon
अलीपुर	a lii pur
जल	jal
वाला	va la
मेडिकल	mei d:i kal
इंच	inch
जन	ja na
व्याप्त	vyaapt
विरोध	vi roodh
जय	jay
जब	jab
ह़ड़ताल	had: taal
राइटिंग्स	
पिचकारियों	pi cha kaa ri yoon
जज	jaj
प्रतियोगियों	pra ti yoo gi yoon
अंगेजों	a ga gei joon
परिसंचरण	pa ri san char ma
पेङ	peid
आचार	aa char
इंडो	in d:oo
मौजुद	mau jud
रामभद्रचार्या	raam bhad raa char yaa
खिसकाना	khis kaa naa
एचआरएच	ei chaa raeich
बंगाल	ban gaal
फायदों	phaa ya doon
नहाते	na haa tei
भरपूर	bhar puur
वर्जीय	var jiiy
जहाँगीर	ja han giir
प्रसार	pra saar
पत्रकारिता	pat ra kaa ri taa
डब्ल्यु	d:ab lyu
डब्ल्यू	d:ab lyuu
उसी	u sii
आशिकों	aa shi koon
अष्टविनायक	ashh t:a vi naa yak
सेमीनार	sei mei naar
लाभार्थी	laa bhaar thii
आविष्कार	aa vishh kaar
फेफड़ा	pheiph d:aa
प्रसाद	pra saad
वनस्पति	va nas pa ti
हनन	ha nan
बूढ़ी	buu d:hii
पोंगल	poon gal
पारस्परिक	paa ras pa rik
कार्यकर्ताओं	kaar ya kar taoon
उपलब्धि	up lab dhi
उज्जैन	ooj jein
पदार्थ	pa daarth
उदय	u day
स्पष्टवादिताः	spashh t:vaa di taa
विरुद्ध	vi ruddh
शौकीन	shau kiin
तिलियों	ti li yoon
लङकी	lad kii
सरोज	sa rooj
सा	saa
कुकृत्य	kuk rity
व्यापारियों	vyaa paa ri yoon
प्रिसिंपल	prin si pal
गोलमोज	gol mooj
अध्यन	adh yan
टैप	t:aip
आवरण	aa va ran:
धारक	dhaa rak
रचनात्मकता	rach naat maak taa
निद्रा	nid raa
बाघा	baa ghaa
बनाईये	ba naai yei
खींचेगा	khiin chei gaa
कुंचित	kun chit
घोड़े	ghoo d:ei
इंसान	in saan
विचारधाराओं	vi chaar dhaa raaoon
जलीय	ja liiy
भेजा	bheij
इंटरप्रिटेशन	in t:ar pri t:ei shan
विकलांगजनों	vi ka laan ga jan
वारिस	vaa ris
शुद्रों	shuud roon
तेलांगाना	tei lan gaa naa
कंघी	kan ghii
लोसास	loo saas
परिचायक	pa ri chaa yak
नापसंद	naa pa sand
पैसा	pai saa
नरेन्द्रनाथ	na rein dra naath
चिंतन	chin tan
समस्याएँ	sa mas yaaein
राजअभिषेक	raa jaa bhi sheik
धारा	dhaa raa
कुलदेवता	kul dei va taa
दार्जीलिंग	daar jii ling
खासियत	khaa si yat
दीक्षा	diikshh
चिंता	chint
भेजो	bhei joon
मुस्कुराकर	mus ka raa kar
चढ़	chad:h
तैराकी	tai raa kii
अनाथालयों	a naa tha la yoon
देखभाल	deikh bhaal
शिकंजा	shi kan jaa
कर्मचारियों	kar ma chaa ri yoon
अवरोधों	a va roo dhoon
एथलीट	eith liit:
धनतृयोदशी	dhan
डीफिल	d:ii phil
सहभागिता	sah bhaa gi taa
निष्क्रिय	nishh kriy
स्टेकर	st:ei kar
जलगाँव	jal gaanv
सूफिज्म	suu phi jam
अंगदेश	an gdeish
कार्यकलाप	kaar ya ka laap
जिनमें	jin mein
परेशान	pa rei shaan
त्रिकोणिय	tri koo n:iy
क्वार्टर	kvaar t:ar
गौरीसा	gau rii saa
पुनर्निर्माण	pu nar nir maan:
मापदण्ड	maa pa dand:
चील	chiil
भंडाफोड़	bhan d:aa phood:
ब्यूरो	byuu roo
इटावा	i t:aa vaa
कैनेडा	
वायुजीवी	vaa yu jii vii
अनुशासनों	a nu shaa sa noon
प्रान्तीय	praan tiiy
लड़वाया	lad: vaa yaa
पीता	pii taa
पीतल	pii tal
कराटे	ka raa t:ei
तोहे	too hei
पौधों	pau dhoon
ग्रन्थों	gran thoon
साथही	saath hii
सन	san
डेनमार्क	d:ein maark
लेखनों	lei kha noon
बोजाक्यू	boo jaak yuu
डाकों	d:aa koon
ब्रॉडबैण्ड	braad: baind:
टेक्नॉलाजी	t:eik na laa jii
गुर	gur
सजायें	sa jaa yein
सिंदूर	sin duur
औद्योंगिक	aud yoo gik
अरे	a rei
पांण्डव	paan dav
विराम	vi raam
शौर्य	shaury
भांगड़ा	bhaan gd:aa
बैठाना	bai thaa na
जर्नल	jar nal
गुड	gud:
गुण	gun:
पाबंद	paa band
अली	a lii
गुम	gum
गुन	gun
अतिथिगण	a ti thi gan:
निःस्वार्थ	ni vas rath
लाइनों	laai noon
गेल	geil
सहित	sa hit
चप्पल	chap pal
मजाकिया	ma jaa kiy
ओलियम	oo li yam
गुट	gut:
कल्पनाएं	kal pa naaein
गुङ	gud
इण्डिया	in d:i yaa
अधिवेशन	a dhi vei shan
स्टोर	st:oor
काठी	kaa t:hii
शोधों	shoo dhoon
सूखा	suu khaa
परोपकारी	pa roo pa kaa rii
इण्डियन	in d:i yan
टोबैगो	t:oo bai goon
रामुनुजा	raa maa nu jaa
महिलाएं	ma hi laaein
जादूगर	jaa duu gar
महिलाएँ	ma hi laaein
कारे	kaa rein
भवरा	bhan va raa
बेर	beir
गुड्डु	gud: d:uu
कोरिया	koo ri yaa
निवेदिता	ni vei dit
अर्धचन्द्र	ar
सुलभ	su labh
डिजिटाईजेशन	d:i ji t:aai jei shan
कुचल	ku chal
बजरंगी	baj ran gii
सामान्यतः	saa maan yat
शिरीष	shi riishh
सुला	su laa
घरेलू	gha rei luu
घरेलु	gha rei lu
कर्नाटकी	kar na t:a kii
जगतनारायण	ja gat naa raa yan:
महाराजा	ma haa raa jaa
जूलिया	juu li yaa
सतत्	sat taa
आजाद	aa jaad
अश्वनी	ash va nii
चाँदनी	chaan dnii
छुपता	chhup taa
अभिन्न	a bhin na
श्रोताओं	shroo taoon
सुलग	su lag
दिखे	di khei
मंजूर	man juur
सुलझ	su lajh
गाडी	gaa d:ii
पकाने	pa kaa nei
गढ	gad:h
सूचकों	suu cha koon
महाराजाओं	ma haa raa jaaoon
दवाई	da vaaii
निबंधकार	ni ban dhkaar
प्रोसेसर	proo sei sar
करुँगा	ka run gaa
गन	gan
गम	gam
फार	phaar
हार्दिक	haar dik
गर	gar
जुरुर	ja ruur
ढूँढ़	d:huund:h
गह	gah
अनावश्यक	a naa vash yak
गा	
दवाब	daba:v
विश्वनाथ	vish va naath
बकाया	ba kaa yaa
सांसदों	saan sa doon
फाई	phaaii
गऊ	gauu
मान्यताऔं	maan ya taaoon
गई	gaii
गए	gaei
गायत्री	gaa yat rii
बल्लेबाज़	bal lei baaj
जाओगें	jaaoo gei
नॉरफोक	nar pha koon
इंडिका	in d:i kaa
समाजशास्त्र	sa maaj shaastr
जोड़नाः	jood: naa
नाथूराम	naa thuu raam
ताबेदार	taa bei daar
सिरी	si rii
भारत	bhaa rat
स्टोव	st:oov
टेक्सटाईल्स	t:eik st:aails
सिरे	si rei
सिद्धों	sid dhoon
गुरुद्वारा	gu rud vaar
उत्तरदायी	ut tar daa yii
अंतरंगता	an tar gat
वॉशिंग	va shing
हैँ	hai
जनरल	jan ral
त्याग	tyaag
भूगोल	bhuu gool
नरेश	na reish
आनन्दमठ्	aa nan dmath
अकांउट	a kaaunt:
तांब्र	taambr
बेलना	beil naa
अमरुद	am ruud
सम्पूर्णं	sam puurn:
मदनमोहन	ma dan moo han
आश्चर्यजनक	aash char ya ja nak
स्यूडोनिम	syuu d:oo nim
फ्रैंज	phrainj
फ्रेडरिक	phreid: rik
जलपोत	jal poot
स्थिरिता	sthir taa
ऐसे	ai sei
जॉर्ज	jaarj
दीदी	dii dii
ऐसी	ai sii
फैलाकर	phai laa kar
चाहूँगी	chaa huun gii
स्केटिंग	skei t:ing
दैविक	dai vik
ब्लॉक	blaak
महत्त्वपूर्ण	ma hat tva puurnd~
ब्लॉग	blaag
बॉयोसाइड	ba yoo saaid:
पेशकस	peish kas
लजीज़	la jiij
फ्लोरो	phloo roon
प्रचुर	pra chur
शीना	shii naa
कभी	ka bhii
इसीलिए	i sii liei
सड़क	sa d:ak
खोजती	khooj tii
भवनीदस	bhav nii daas
सकेंगीं	sa kein gii
विघ्नकर्त्ता	vigh na kart
एनसीसी	ein sii sii
यूएनइपी	yuuei nii pii
बेपरवाह	bei par vaah
रखवाली	rakh vaa lii
आपार	aa paar
सामाज	sa maaj
क्वांटम	kvaan t:am
तिगड़ी	tig d:ii
सड़ा	sa d:aa
ग्रंथियाँ	gran thi yaan
सम्मानिया	sam maan niiy
उत्कीर्ण	ut kii rin:
ढोने	d:hoo nei
किजो	ki joon
बाधाएँ	baa dhaaein
जयभारत	jay bhaa rat
खिंचता	khin chtaa
गवाकर	ga vaa kar
खरीदारी	kha rii daa rii
जाइए	
इनहेंने	i na hoo nei
तशरीफ	tash riiph
शाब्दिक	shaab dik
आरंभ	aa rambh
भिन्नता	bhin ntaa
फहरा	pha ha raa
चैन्टनहम	chain t:an ham
जानकर	jaan kar
अफ्रीका	aph riik
पृश्वी	prish vii
अंश	ansh
सिखा	si khaa
कर्त्ता	kar ta taa
मरकर	mar kar
कखग	ka khag
अनोखा	a noo khaa
सैन्य	sainy
चरखे	char khei
बेटा	bei t:aa
परिचय	pa ri chay
बहुसंस्कृतिवाद	ba hu san
मीमांसा	mii man saa
लोकों	loo koon
वण्डरफुलवण्डरफुल	van d:ar phul van d:ar phul
कुशाग्र	ku shaagr
सैंकड़ों	sain ka d:oon
चुटकलों	chut: ku loon
तदनुसार	ta da nu saar
जिन्न	jinn
उच्छ	uchchh
ब्रॉयन	bra yan
ढूंढ़ने	d:huun d:ha nei
जैफ्फरेंसन	jaiph raph neis
शिकारी	shi kaa rii
नादिरशाह	naa dir shaah
सितारें	si taa rei
स्वाँग	svaang
गीतिमलया	giit mi la yaa
डैड	d:eid:
धुआँ	dhuaan
बाड़ी	baa d:ii
क्राउन	kraaun
बुवाई	bu vaaii
तापी	taa pii
सविनय	sa vi nay
पत्र	patr
अधिक	a dhik
जोशपूर्ण	joo sha puurn:
प्रेमी	prei mii
सतर्क	sa tark
मुरिल्ल	mur lil
एनिमल	ei ni mal
मिलों	mi loon
ब्रैड	breid:
मौहाली	mau haa lii
धाराओं	dhaa raaoon
तिलोरही	ti loo ra hii
मसूसस	ma suus
अनन्तकाल	a nan ta kaal
अर्थव्यस्था	ar thav yasth
फिल्मस्	philms
दिखाया	di khaa yaa
पहुंचे	pa hun chei
पंचाली	pan chaa lii
नास्तिकता	naas tik taa
क्रिसेंट	kri seint:
पद्म	pad ma
बल्वले	bal va lei
धूपबत्ती	dhuup bat tii
विधायी	vi dhaa yii
गैरजरुरी	gair ja ru rii
हॉबी	ha bii
विफल	vi phal
मोतीझील	moo tii jhiil
सामान	saa maan
बलवन्त	bal vant
पुरूषों	pu ru shoon
झाड़ू	jhaa d:uu
प्रभू	pra bhuu
प्रभु	pra bhu
गायों	gaa yoon
प्रेमजी	preim jii
गणतंत्रात्मक	gan: tan traat mak
वृक्ष	vrikshh
संस्कति	san
रानाडे	raa na d:ei
डॉग	d:aug
डॉक	d:auk
कुदृष्टि	kudrishh t:i
अभियानग्रामीण	a bhi yaa nag raa miin:
राधे	raa dhei
श्रमिकों	shra mi koon
लेंस	leins
हिंसक	hin sak
वीकेचिपलूणकर	vii kei cha pi luun: kar
किन	kin
नासा	naa saa
मेकैनिकल	mai kei ni kal
जर्मनी	jar ma nii
जहर	ja har
डॉन	d:aun
बरामदे	ba raam dei
मूल्यवान	muul ya vaan
महिनों	ma hii noon
मिलेगीसजा	mi lei si gaj
प्रशासन	pra shaa san
विविधता	vi vidh taa
गुङिया	goo di yaa
बैठने	baith nei
बल्लेबाज	bal lei baaj
गिलास	gi laas
सत्यजीत	sat ya jiit
शुभ्र	shubhr
जीना	jii naa
कुआँ	kuaan
मर्जी	mar jii
कोर	koor
पुरस्कृत	pu ras krit
विश्लेषण	vish lei shhan:
सौम्य	saumy
दुष्चक्र	dush chakr
निशानची	ni shaan chii
प्राधिकारीयों	praa dhi kaa ri yoon
मानेकशॉ	maa neik shhaa
शौचालयों	shau chaa la yoon
डीबी	d:ii bii
डीआरडीओ	d:iiaar d:iioo
एण्ड	and:
सिद्धांतों	sid dhaan toon
तरफा	ta raph
जफर	ja phar
घूमता	ghuum taa
कातिल	kaa til
वन्दना	van da naa
गुणवत्तापूर्णं	gun: vat ta puurn
खिलाने	khi laa nei
संयंत्र	san yantr
सरदारों	sa ra daa roon
बृजमंडल	brij mand:al
बड़ी	ba d:ii
क्लबों	kla boon
बड़े	ba d:ei
उपनाम	up naam
लाना	laa naa
लानि	laa ni
हैंडल	hain d:al
बोरानगर	boo raa na gar
बेंस	beins
डेरी	d:ei rii
किताबें	ki taa bein
किताबेँ	ki taa bein
महापरिनिर्वाण	ma ha pa ri nir vaan:
उच्छल	uch chhal
ताँबा	taan baa
तपमान	taap maan
उपक्रमों	up kra moon
दसवेँ	das vein
दसवें	das vein
जार्ज	jaarj
थोड़ी	thoo d:ii
इस्टेइंग	is t:eiing
लड्डुअन	lad: d:uan
द्वीप	dviip
साजो	saa joon
शासित	shaa sit
खजानसिंह	kha jaan sinh
तुरंत	tu rant
नहाकर	na haa kar
साजे	saa jei
परिस्थितिवश	pa ris thi ti vash
इच्छित	ich chhit
ठंड	thand:
ईसा	ii saa
गंगा	gan gaa
अन्त	a nant
पूज्य	puujy
अन्न	ann
चिन्ह	chinh
मेडिसीन	mei d:ii sin
डॉक्टर	d:aak t:ar
मजदूरों	maj duu roon
शाप	shaap
चिह्नित	chin hit
गुजराती	guj raa tii
प्रकृति	prak ri ti
ब्रम्हाण्ड	bram haand:
बेन्टिक	bein t:ik
खोय	khooy
प्रतीकों	pra tii koon
पेटीका	pei t:ii kaa
थेनमोज़ी	thei na moo jii
सिर्फ	sirph
बुटेफ्लिका	boot: phei lik
सम्बन्धित	sam ban dhit
समायोजन	sa maa yoo jan
एयरोस्पेस	ei ya ros peis
ब्रिक्री	brik rii
किस	kis
मूक	muuk
डुबकी	d:ub kii
हँसते	han stei
इंधन	iin dhan
माफी	maa phii
पंखो	pan khoon
कद्दू	kad duu
रणनीतियाँ	ran: nii ti yaan
हत्या	hat yaa
सरकारी	sar kaa rii
एव	eiv
देहांत	dei haant
किक	kik
मारसेला	maar sei laa
मतभेदों	mat bhei doon
बाध्य	baadhy
वाष्पीकरण	vaa shii pak rand~
अवकाशोंस्वतंत्रता	a va ka shoon tav
पाप	paap
बोहरा	booh raa
कैसे	kai sei
सावित्री	saa vit rii
वैशाख	vai shaakh
जगाने	ja gaa nei
जाते	jaa tei
विदोहन	vi doo han
