प्रवक्ता	p r a v a k t aa
प्राणघाती	p r aa n: gh aa t i
पुनर्जीवन	p u n a r j ii v a n
वकालत	v a k aa l a t
प्रतीत	p r a t ii t
सीख	s ii kh
शशि	sh a sh ii
चरितार्थ	ch a r i t aa r th
जैसें	j ai s ei n
जैसेः	j ai s ei 
रामदुलारे	r aa m d u l aa r ei
रामदुलारी	r aa m d u l aa r ii
पर्यन्त	p a r y a n t
त्रासदी	t r aa s d ii
बेसकीमती	b ei s k ii m t ii
गुजरातभारत	g u j a r aa t a bh aa r 
दूबे	d uu b ei
सूई	s uu ii
पकड़ा	p a k d: aa
रिकार्ड	r i k aa r d:
फहराया	ph a h r aa y aa
आलोचक	aa l oo ch a k
आउटडोर	aa u t: d: oo r
कानों	k aa n oo n
आर्डर	aa r d: a r
अनियमितता	a n i y a m i t t aa
अनुवादक	a n u v aa d
संबोधन	s a m b oo dh a n
विचारधारा	v i ch aa r dh aa r aa
इन्सुलेटर	i n s u l ei t: a r 
गैलरी	g ai l a r ii
वानी	v aa n ii
नंदगांव	n a n d g aa n v
सत्यता	s a t y a t aa
वाद	v aa d
साहसी	s aa h a s ii
जुर्माने	j u r m aa n ei
कॉलेजों	k aa l ei j oo n
जोड़ियों	j oo d: i y oo n
एकपत्नीत्व	ei k p a t n ii t v 
अप्रैल	a p r ai l
सलीमगढ़	s a l ii m a g a d:h
सुधार	s u dh aa r
निरंकुश	n i r a n k u sh
अन्तर्निहिता	a n t a r n i h i t aa
टैम्पल	t ai m p a l
सतयुग	s a t y u g
उबाऊ	u b aa uu
राष्ट्रगीत	r aa shh t: r a g ii t
पहुंचाते	p a h u n ch aa t ei
मानेंगे	m aa n ei n g ei
भूमि	bh uu m i
आवें	aa v ei n
धुन	dh u n
डर	d: a r
मूसे	m uu s ei
ऊँचाई	uu n ch aa ii
सौंपने	s au n p a n e
बिर्न	b i r n a
बिनु	b i n u
काटा	k aa t: aa
चालू	ch aa l uu
दुकान	d u k aa n
रबीन्द्रनाथ	r a b ii n d r a n aa th
कार्यकरण	k aa r y a k a r a n
पादरी	p aa d r ii
चुराई	ch u r aa ii
स्वंय	s v a y a m
रिश्वत	r i sh v a t
लालित्य	l aa l i t y a
रोगियों	r oo g i y oo n
ठहराने	t:h a h r aa n ei
चलना	ch a l n aa
अंबालाल	a m b aa l aa l
वचनबद्धता	v a ch a n b a d dh a t aa
सम्भाल	s a m bh aa l
स्थापना	s th aa p a n aa
श्यामन्तिक	sh y aa m a n t i k
चेन्नई	ch ei n n a i
किंग्डम	k i n g d: a m
चाहती	ch aa h t ii
प्रोजैक्ट्स	p r oo j ei k t: s
भ्रष्ट्राचार	bh r a sh t: aa ch aa r
सोयाबीन	s oo y aa b ii n
चाहते	ch aa h t ei
संलेखन	s a l aa kh ei n
टुकङियों	t: u k d: i y oo n
वरदान	v a r d aa n
लियोपोल्ड	l i y oo p oo l d:
संयोजित	s a n y oo j i t
धावक	dh aa v a k
तोमरघार	t oo m a r gh aa r
सिनेमाघरों	s i n ei m aa gh a r oo n
भूरा	bh uu r aa
पोर्टल	p oo r t: a l
डल	d: a l
पोर्टर	p oo r t: a r
राष्ट्रप्रेमी	r aa sh t: r a p r ei m ii
चेज़	ch ei z
हानि	h aa n i
कैमरा	k ai m r aa 
मुद्दो	m u d d oo n
एचसीएल	ei ch s ii ei l
वैमनस्य	v ai m a n a s y a
हास्यपद	h aa s y aa s p a d
स्थापत्य	s th aa p a t y a
कुंथानृत्य	k u n th aa n r i t y 
आंतरिक	aa n t r i k 
स्टार्टअप	s t: aa r t: a p
समुह	s a m uu h
छोडो	chh oo d: oo 
मुद्दे	m u d d ei
सजाती	s a j aa t i
किचलूव	k i ch l uu v
मस्जिदें	m a s j i d ei n
दत्तचित	d a t t a ch i t
मेनिनजाइटिस	m ei n i n j aa i t: i s
टंकियाँ	t: a n k i y aa n
उत्पादकता	u t p aa d a k t aa
कैदियों	k ai d i y oo n
शिद्दत	sh i d d a t
तुम	t u m
टेक्नोलॉज़ी	t: ei k n oo l au j ii
एसएन	ei s ei m
सेकेंड	s ei k ei n d:
मुस्कुराहट	m u s k u r aa h a t:
एमजी	ei m j ii
अशफाक	a sh ph aa k
चपाती	ch a p aa t ii
अड़ाये	a d: aa y ei n
नीरी	n ii r ii
नीरु	n ii r u
यूरोपीयन	y uu r oo p i y a n
करियप्पा	k a r i y p p aa
होवेन	h oo v ei n
कथाएं	k a th aa ei n
पुस्तक	p u s t a k
कथाएँ	k a th aa ei n
पूछा	p uu chh aa
प्रधानाचार्या	p r a dh aa n aa ch aa r y aa
उन्मूलन	u n m uu l a n
संभाला	s a m bh aa l aa
बहनः	b a h a n
फारवर्ड	ph a r v a r d:
बनवा	b a n v aa
संवत्	s a n v a t
वनकर	v a n k a r
निशान	n i sh aa n
बचाया	b a ch aa y aa
असंतुलन	a s a n t u l a n
बाँधा	b aa n dh aa
दुर्भाग्य	d u r bh aa g y a 
बहना	b a h n aa
मिसाइलमैन	m i s aa i l m ei n
प्याली	p y aa l ii
वर्षगाँठ	v a r sh a g aa n t:h
प्रधानचार्य	p r a dh aa n ch aa r y a
बांके	b aa n k ei
कोल्हापुर	k oo l h aa p u r
दोनो	d oo n oo n
द्ददा	d a dd aa
वालीबॉल	v aa l i b aa l
दफ्तरों	d a ph t a r oo  n
सोचा	s oo ch aa
सुधारेगा	s u dh aa r ei g aa
रॉबर्ट	r aa b a r t:
अपनो	a p n oo n
पदुरंगाशास्त्री	p a d u r a n g aa sh aa s t r ii
छाल	chh aa l
प्रतिद्वंदिता	p r a t i d v a n d i t aa
संस्कृति	s a n s k r i t i
अजनबी	a j n a b ii
भटक	bh a t: a k
मंत्रालयों	m a n t r aa l a y oo n
कोशिश	k oo sh i sh
पंद्रहवें	p a n d r a h v ei n
धर्मवाद	dh a r m a v aa d 
शरत्	sh a r t
कोलोरेक्टल	k oo l oo r ei k t: a l
कंपनीयों	k a m p a n ii y oo n
इन्डोनेशिया	i n d: oo n e sh i y aa
मधुमक्खियाँ	m a dh u m a k kh i y a n
जिसके	j i s k ei
जटिलता	j a t: i l t aa
छाप	chh aa p
इन्फ्रारेड	i n ph r aa r ei d:
हल्के	h a l k ei
शहादत	sh a h aa d a t
झाकियोँ	jh aa n k i y oo n
प्रत्यारोपण	p r a t y aa r oo p a n:
पर्ल	p a r l
पार्टियों	p aa r t: i y oo n
ग्रांट	g r aa n t:
खींचना	kh ii n ch n aa
घोष	gh oo sh
संख्या	s a n kh y aa
करायेगा	k a r aa y ei g aa
घोर	gh oo r
मुलायम	m u l aa y a m
समुद्रीय	s a m u d r ii y 
चंगा	ch a n g aa
रोगोपचार	r oo g oo p ch aa r
छाई	chh aa ii
अन्तस्रवण	a n t a s a r v a n
करी	k a r ii
सिलहिली	s a l i h i l ii
छेद	chh ei d
रुस	r u s
तस्वीर	t a s v ii r
उठे	u th ei
मिसाइलों	m i s aa i l ei n
भानुसिंहों	bh aa n u s i n h oo n
विकास	v i k aa s
स्वशासित	s v a sh aa s i t
भेजेगा	bh ei j ei g 
विकार	v i k aa r
पकड़कर	p a k a d: k a r
खिदमते	kh i d m a t ei
आलोचन	aa l oo ch a n
विकाश	v i k aa sh
कामराज	k aa m r aa j
रिसना	r i s n aa
जोड़ते	j oo d: t ei
वाजपेयी	v aa j p ei y ii
करवाया	k a r v aa y aa
उनका	u n k aa
कहती	k a h t ii
सम्बधिंयों	s a m b a n dh i y oo n
तैयारीयाँ	t ai y aa r i y 
कहते	k a h a t ei
स्टेशन	s t: ei sh a n a
मोती	m oo t ii
साप्ताहिक	s aa p t aa h i k 
इएफएस	i ei a ph a s
पुनःवृक्षारोपण	p u n a v rx i shh a p u k a r v 
कॉलेज	k a l ei j
विषुव	v i shh u v 
मेहनत	m a h ei n a t 
बताये	b a t aa y ei
विडियों	v i d: i y oo n
आरम्भ	aa r m a bh 
नॉथन	n a th a n a
गुजरेगा	g u r a j ei g 
अमीरी	a m ii r ii
सपनों	s a p n oo n
आद्यौगिकीकरण	aa y y au d i g a k i r 
सिस्टरों	s i s t: a r oo n
उठना	u th a n aa
तुकाराम	t u k aa r aa m a
एचपीवी	a ch a p ii v ii
विश्वेश्वरय्या	v i sh v ei sh r a y 
हमदर्दी	h a m a d a r d ii
स्लेटी	s l ei t: ii
रहवासी	r a h v aa s ii
सर्वशक्ति	s a r v a sh t a k i
आगरा	aa g a r 
अवशेष	a v a sh ei shh 
छूटना	chh uu t a n a
देने	d ei n ei
छिद्र	chh i d r 
गिनती	g i n a t ei
जयते	j a y a t ei
पकड़	p a k a d:
मंडराती	m a n d: r aa t ii
मुसलमानों	m u s a l a m aa n oo n
पोरबंदर	p oo r a b a r n a
उपयोगकर्ताओं	u p a y a g oo k a r th aa
जिसने	j i s a n ei
मलचिंग	m a l a ch i g n
दफनाए	d a ph a n aa ei
दिनों	d i n oo n
दस्तूरों	d a s t uu r oo n
कुंजी	k u n j ii
निम्नलिखित	n i m a n l i kh t 
अस्वाभाविक	a s v aa bh aa v i k 
सेवी	s ei v ii
रिहायशी	r i h aa y ei sh
किलो	k i l oo n
गम्भीरता	m a g bh ii r a t 
मजिस्ट्रेट	m a j i s t: r ei t:
किले	k i l ei
क़ुदरती	k u d a r a t ei
बढ़ेगा	b a d:h ei g aa
विघ्नहर्ता	v i n h a gh a t r 
देवऋण	d ei v 
खण्डरों	kh a n d: a r oo n
मत	m a t
मद	m a d
पैमाने	p ai m aa n ei
मठ	m a
स्तुति	s u t t i
क्रोद्धित	k r oo d i t dh 
डिस्कवरी	d: i s k a v r ii
दार्शनिक	d aa r a n sh i k 
स्वास्थ्यकर	s v aa s th y a k a r 
मम	m a m
मन	m a n
सूक्ष्मजीवों	s uu k sh m j ii v oo n 
संपदा	s a m p a d aa
मर	m a r 
राजघाट	r a j aa gh a t: 
मल	m a l
हलवा	h a l a v aa
इन्कोस्पार	i n k s oo p a r 
मि	m i
कुएँ	k u ei
छठी	chh a t ei
प्राणा	p r aa n a
जोकि	j oo k i
दरिद्रता	d a r i d r a t aa
कैनल	k ai n a l
निंदा	n i n d aa
करों	k a r oo n
वेश	v ei sh 
इंक	i n k
धर्मात्मा	dh a r m aa t m a
सोमवार	s oo m a v a r 
ब्राहमण	b r aa h m a n a
सूंड़	s uu n d:
मुलगड़ी	m u l g a d: i
सूकून	s uu k uu n
मच	m a ch
माउन्टबैटेन	m aa u n t: b ai t: ai  n
जस	j a s
जा	j 
ताकतों	t aa k a t oo n
अलीपुर	a l ii p u r 
जल	j a l
वाला	v a l a
मेडिकल	m ei d: i k a l
इंच	i n ch
जन	j a n a
व्याप्त	v y aa p t 
विरोध	v i r oo dh
जय	j a y 
जब	j a b
ह़ड़ताल	h a d: t aa l
राइटिंग्स	r aa i t: i n g s 
पिचकारियों	p i ch a k aa r i y oo n
जज	j a j
प्रतियोगियों	p r a t i y oo g i y oo n
अंगेजों	a g a g ei j oo n
परिसंचरण	p a r i s a n ch a r m a
पेङ	p ei d
आचार	aa ch a r
इंडो	i n d: oo 
मौजुद	m au j u d 
रामभद्रचार्या	r aa m bh a d r aa ch a r y aa
खिसकाना	kh i s k aa n aa
एचआरएच	ei ch a a r a ei ch
बंगाल	b a n g aa l
फायदों	ph aa y a d oo n
नहाते	n a h aa t ei
भरपूर	bh a r p uu r
वर्जीय	v a r j ii y 
जहाँगीर	j a h a n g ii r
प्रसार	p r a s aa r
पत्रकारिता	p a t r a k aa r i t aa
डब्ल्यु	d: a b l y u
डब्ल्यू	d: a b l y uu
उसी	u s ii
आशिकों	aa sh i k oo n
अष्टविनायक	a shh t: a v i n aa y a k
सेमीनार	s ei m ei n aa r
लाभार्थी	l aa bh aa r th ii
आविष्कार	aa v i shh k aa r
फेफड़ा	ph ei ph d: aa
प्रसाद	p r a s aa d
वनस्पति	v a n a s p a t i
हनन	h a n a n
बूढ़ी	b uu d:h ii
पोंगल	p oo n g a l
पारस्परिक	p aa r a s p a r i k
कार्यकर्ताओं	k aa r y a k a r t a oo n
उपलब्धि	u p l a b dh i
उज्जैन	oo j j ei n
पदार्थ	p a d aa r th
उदय	u d a y
स्पष्टवादिताः	s p a shh t: v aa d i t aa
विरुद्ध	v i r u d dh 
शौकीन	sh au k ii n
तिलियों	t i l i y oo n
लङकी	l a d k ii
सरोज	s a r oo j
सा	s aa
कुकृत्य	k u k r i t y 
व्यापारियों	v y aa p aa r i y oo n
प्रिसिंपल	p r i n s i p a l
गोलमोज	g o l m oo j
अध्यन	a dh y a n
टैप	t: ai p
आवरण	aa v a r a n:
धारक	dh aa r a k
रचनात्मकता	r a ch n aa t m aa k t aa
निद्रा	n i d r aa
बाघा	b aa gh aa
बनाईये	b a n aa i y ei
खींचेगा	kh ii n ch ei g aa
कुंचित	k u n ch i t
घोड़े	gh oo d: ei
इंसान	i n s aa n
विचारधाराओं	v i ch aa r dh aa r aa oo n
जलीय	j a l ii y 
भेजा	bh ei j 
इंटरप्रिटेशन	i n t: a r p r i t: ei sh a n
विकलांगजनों	v i k a l aa n g a j a n
वारिस	v aa r i s
शुद्रों	sh uu d r oo n
तेलांगाना	t ei l a n g aa n aa
कंघी	k a n gh ii
लोसास	l oo s aa s
परिचायक	p a r i ch aa y a k
नापसंद	n aa p a s a n d
पैसा	p ai s aa
नरेन्द्रनाथ	n a r ei n d r a n aa th
चिंतन	ch i n t a n
समस्याएँ	s a m a s y aa ei n
राजअभिषेक	r aa j aa bh i sh ei k
धारा	dh aa r aa
कुलदेवता	k u l d ei v a t aa
दार्जीलिंग	d aa r j ii l i n g
खासियत	kh aa s i y a t
दीक्षा	d ii k shh 
चिंता	ch i n t 
भेजो	bh ei j oo n
मुस्कुराकर	m u s k a r aa k a r
चढ़	ch a d:h
तैराकी	t ai r aa k ii
अनाथालयों	a n aa th a l a y oo n
देखभाल	d ei kh bh aa l
शिकंजा	sh i k a n j aa
कर्मचारियों	k a r m a ch aa r i y oo n
अवरोधों	a v a r oo dh oo n
एथलीट	ei th l ii t:
धनतृयोदशी	dh a n t r y oo d a sh ii
डीफिल	d: ii ph i l
सहभागिता	s a h bh aa g i t aa
निष्क्रिय	n i shh k r i y 
स्टेकर	s t: ei k a r
जलगाँव	j a l g aa n v
सूफिज्म	s uu ph i j a m
अंगदेश	a n g d ei sh
कार्यकलाप	k aa r y a k a l aa p
जिनमें	j i n m ei n
परेशान	p a r ei sh aa n
त्रिकोणिय	t r i k oo n: i y 
क्वार्टर	k v aa r t: a r
गौरीसा	g au r ii s aa
पुनर्निर्माण	p u n a r n i r m aa n:
मापदण्ड	m aa p a d a n d:
चील	ch ii l
भंडाफोड़	bh a n d: aa ph oo d:
ब्यूरो	b y uu r oo
इटावा	i t: aa v aa
कैनेडा	k ei n ei d: a:
वायुजीवी	v aa y u j ii v ii
अनुशासनों	a n u sh aa s a n oo n
प्रान्तीय	p r aa n t ii y 
लड़वाया	l a d: v aa y aa
पीता	p ii t aa
पीतल	p ii t a l
कराटे	k a r aa t: ei
तोहे	t oo h ei
पौधों	p au dh oo n
ग्रन्थों	g r a n th oo n
साथही	s aa th h ii
सन	s a n
डेनमार्क	d: ei n m aa r k
लेखनों	l ei kh a n oo n
बोजाक्यू	b oo j aa k y uu
डाकों	d: aa k oo n
ब्रॉडबैण्ड	b r aa d: b ai n d:
टेक्नॉलाजी	t: ei k n a l aa j ii
गुर	g u r
सजायें	s a j aa y ei n
सिंदूर	s i n d uu r
औद्योंगिक	au d y oo g i k
अरे	a r ei
पांण्डव	p aa n d a v
विराम	v i r aa m
शौर्य	sh au r y 
भांगड़ा	bh aa n g d: aa
बैठाना	b ai th aa n a
जर्नल	j a r n a l
गुड	g u d:
गुण	g u n:
पाबंद	p aa b a n d
अली	a l ii
गुम	g u m 
गुन	g u n
अतिथिगण	a t i th i g a n:
निःस्वार्थ	n i v a s r a th
लाइनों	l aa i n oo n
गेल	g ei l
सहित	s a h i t
चप्पल	ch a p p a l
मजाकिया	m a j aa k i y 
ओलियम	oo l i y a m
गुट	g u t:
कल्पनाएं	k a l p a n aa ei n
गुङ	g u d
इण्डिया	i n d: i y aa
अधिवेशन	a dh i v ei sh a n
स्टोर	s t: oo r
काठी	k aa t:h ii
शोधों	sh oo dh oo n
सूखा	s uu kh aa
परोपकारी	p a r oo p a k aa r ii
इण्डियन	i n d: i y a n
टोबैगो	t: oo b ai g oo n
रामुनुजा	r aa m aa n u j aa
महिलाएं	m a h i l aa ei n
जादूगर	j aa d uu g a r
महिलाएँ	m a h i l aa ei n
कारे	k aa r ei n
भवरा	bh a n v a r aa
बेर	b ei r
गुड्डु	g u d: d: uu
कोरिया	k oo r i y aa
निवेदिता	n i v ei d i t 
अर्धचन्द्र	a r dh a ch a n d r 
सुलभ	s u l a bh
डिजिटाईजेशन	d: i j i t: aa i j ei sh a n
कुचल	k u ch a l
बजरंगी	b a j r a n g ii
सामान्यतः	s aa m aa n y a t 
शिरीष	sh i r ii shh
सुला	s u l aa
घरेलू	gh a r ei l uu
घरेलु	gh a r ei l u
कर्नाटकी	k a r n a t: a k ii
जगतनारायण	j a g a t n aa r aa y a n:
महाराजा	m a h aa r aa j aa
जूलिया	j uu l i y aa
सतत्	s a t t aa
आजाद	aa j aa d
अश्वनी	a sh v a n ii
चाँदनी	ch aa n d n ii
छुपता	chh u p t aa
अभिन्न	a bh i n n a
श्रोताओं	sh r oo t a oo n
सुलग	s u l a g
दिखे	d i kh ei
मंजूर	m a n j uu r
सुलझ	s u l a jh
गाडी	g aa d: ii
पकाने	p a k aa n ei
गढ	g a d:h
सूचकों	s uu ch a k oo n
महाराजाओं	m a h aa r aa j aa oo n
दवाई	d a v aa ii
निबंधकार	n i b a n dh k aa r
प्रोसेसर	p r oo s ei s a r
करुँगा	k a r u n g aa
गन	g a n
गम	g a m
फार	ph aa r
हार्दिक	h aa r d i k
गर	g a r
जुरुर	j a r uu r
ढूँढ़	d:h uu n d:h
गह	g a h
अनावश्यक	a n aa v a sh y a k
गा	g 
दवाब	d a b a: v
विश्वनाथ	v i sh v a n aa th
बकाया	b a k aa y aa
सांसदों	s aa n s a d oo n
फाई	ph aa ii
गऊ	g a uu
मान्यताऔं	m aa n y a t aa oo n
गई	g a ii
गए	g a ei
गायत्री	g aa y a t r ii
बल्लेबाज़	b a l l ei b aa j
जाओगें	j aa oo g ei
नॉरफोक	n a r ph a k oo n
इंडिका	i n d: i k aa
समाजशास्त्र	s a m aa j sh aa s t r 
जोड़नाः	j oo d: n aa
नाथूराम	n aa th uu r aa m
ताबेदार	t aa b ei d aa r
सिरी	s i r ii
भारत	bh aa r a t
स्टोव	s t: oo v
टेक्सटाईल्स	t: ei k s t: aa i l s
सिरे	s i r ei
सिद्धों	s i d dh oo n
गुरुद्वारा	g u r u d v aa r
उत्तरदायी	u t t a r d aa y ii
अंतरंगता	a n t a r g a t
वॉशिंग	v a sh i n g
हैँ	h ai
जनरल	j a n r a l
त्याग	t y aa g
भूगोल	bh uu g oo l
नरेश	n a r ei sh
आनन्दमठ्	aa n a n d m a th
अकांउट	a k aa u n t:
तांब्र	t aa m b r 
बेलना	b ei l n aa
अमरुद	a m r uu d
सम्पूर्णं	s a m p uu r n: 
मदनमोहन	m a d a n m oo h a n
आश्चर्यजनक	aa sh ch a r y a j a n a k
स्यूडोनिम	s y uu d: oo n i m
फ्रैंज	ph r ai n j
फ्रेडरिक	ph r ei d: r i k
जलपोत	j a l p oo t
स्थिरिता	s th i r t aa
ऐसे	ai s ei
जॉर्ज	j aa r j
दीदी	d ii d ii
ऐसी	ai s ii
फैलाकर	ph ai l aa k a r
चाहूँगी	ch aa h uu n g ii
स्केटिंग	s k ei t: i n g
दैविक	d ai v i k
ब्लॉक	b l aa k
महत्त्वपूर्ण	m a h a t t v a p uu r nd~ 
ब्लॉग	b l aa g
बॉयोसाइड	b a y oo s aa i d:
पेशकस	p ei sh k a s
लजीज़	l a j ii j
फ्लोरो	ph l oo r oo n
प्रचुर	p r a ch u r
शीना	sh ii n aa
कभी	k a bh ii
इसीलिए	i s ii l i ei
सड़क	s a d: a k
खोजती	kh oo j t ii
भवनीदस	bh a v n ii d aa s
सकेंगीं	s a k ei n g ii
विघ्नकर्त्ता	v i gh n a k a r t 
एनसीसी	ei n s ii s ii
यूएनइपी	y uu ei n ii p ii
बेपरवाह	b ei p a r v aa h
रखवाली	r a kh v aa l ii
आपार	aa p aa r
सामाज	s a m aa j
क्वांटम	k v aa n t: a m
तिगड़ी	t i g d: ii
सड़ा	s a d: aa
ग्रंथियाँ	g r a n th i y aa n
सम्मानिया	s a m m aa n n ii y 
उत्कीर्ण	u t k ii r i n:
ढोने	d:h oo n ei
किजो	k i j oo n
बाधाएँ	b aa dh aa ei n
जयभारत	j a y bh aa r a t
खिंचता	kh i n ch t aa
गवाकर	g a v aa k a r
खरीदारी	kh a r ii d aa r ii
जाइए	j aa i ei
इनहेंने	i n a h oo n ei 
तशरीफ	t a sh r ii ph
शाब्दिक	sh aa b d i k
आरंभ	aa r a m bh
भिन्नता	bh i n n t aa
फहरा	ph a h a r aa
चैन्टनहम	ch ai n t: a n h a m
जानकर	j aa n k a r
अफ्रीका	a ph r ii k 
पृश्वी	p r i sh v ii
अंश	a n sh
सिखा	s i kh aa
कर्त्ता	k a r t a t aa
मरकर	m a r k a r
कखग	k a kh a g 
अनोखा	a n oo kh aa
सैन्य	s ai n y 
चरखे	ch a r kh ei
बेटा	b ei t: aa
परिचय	p a r i ch a y
बहुसंस्कृतिवाद	b a h u s a n s k r i t i v aa d
मीमांसा	m ii m a n s aa
लोकों	l oo k oo n
वण्डरफुलवण्डरफुल	v a n d: a r ph u l v a n d: a r ph u l
कुशाग्र	k u sh aa g r 
सैंकड़ों	s ai n k a d: oo n
चुटकलों	ch u t: k u l oo n
तदनुसार	t a d a n u s aa r
जिन्न	j i n n
उच्छ	u ch chh 
ब्रॉयन	b r a y a n
ढूंढ़ने	d:h uu n d:h a n ei
जैफ्फरेंसन	j ai ph r a ph n ei s 
शिकारी	sh i k aa r ii
नादिरशाह	n aa d i r sh aa h
सितारें	s i t aa r ei
स्वाँग	s v aa n g 
गीतिमलया	g ii t m i l a y aa
डैड	d: ei d:
धुआँ	dh u aa n
बाड़ी	b aa d: ii
क्राउन	k r aa u n
बुवाई	b u v aa ii
तापी	t aa p ii
सविनय	s a v i n a y
पत्र	p a t r 
अधिक	a dh i k
जोशपूर्ण	j oo sh a p uu r n: 
प्रेमी	p r ei m ii
सतर्क	s a t a r k
मुरिल्ल	m u r l i l
एनिमल	ei n i m a l
मिलों	m i l oo n
